127.0.0.1 - - [23/Aug/2018:21:57:35 -0500] "GET / HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [23/Aug/2018:21:57:38 -0500] "GET /superabarrotes/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2018:21:57:39 -0500] "GET /favicon.ico HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [23/Aug/2018:21:58:11 -0500] "POST /superabarrotes/AdminControler HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Aug/2018:21:58:11 -0500] "GET /superabarrotes/administracion.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2018:21:59:09 -0500] "GET /superabarrotes/img/8.jpg HTTP/1.1" 404 1020
0:0:0:0:0:0:0:1 - - [23/Aug/2018:21:59:09 -0500] "GET /superabarrotes/img/9.jpg HTTP/1.1" 404 1020
0:0:0:0:0:0:0:1 - - [23/Aug/2018:21:59:09 -0500] "GET /superabarrotes/img/11.jpg HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [23/Aug/2018:21:59:09 -0500] "GET /superabarrotes/img/10.jpg HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [23/Aug/2018:21:59:09 -0500] "GET /superabarrotes/img/12.jpg HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [23/Aug/2018:21:59:09 -0500] "GET /superabarrotes/img/13.jpg HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [23/Aug/2018:21:59:09 -0500] "GET /superabarrotes/img/gallery2.png HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [23/Aug/2018:21:59:09 -0500] "GET /superabarrotes/img/gallery1.png HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [23/Aug/2018:21:59:09 -0500] "GET /superabarrotes/img/gallery3.png HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [23/Aug/2018:21:59:09 -0500] "GET /superabarrotes/img/gallery4.png HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [23/Aug/2018:21:59:09 -0500] "GET /superabarrotes/img/gallery5.png HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [23/Aug/2018:21:59:09 -0500] "GET /superabarrotes/img/gallery6.png HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [23/Aug/2018:22:00:42 -0500] "GET /superabarrotes/administracion.html HTTP/1.1" 200 6287
