127.0.0.1 - - [21/Aug/2018:00:03:00 -0500] "GET / HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [21/Aug/2018:00:03:02 -0500] "GET /superabarrotes/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2018:00:03:02 -0500] "GET /superabarrotes/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2018:00:03:02 -0500] "GET /superabarrotes/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2018:00:03:02 -0500] "GET /superabarrotes/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2018:00:03:02 -0500] "GET /superabarrotes/css/animate.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2018:00:03:02 -0500] "GET /superabarrotes/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2018:00:03:02 -0500] "GET /superabarrotes/img/acceso.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2018:00:03:02 -0500] "GET /superabarrotes/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2018:00:03:02 -0500] "GET /superabarrotes/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2018:00:03:02 -0500] "GET /superabarrotes/js/wow.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2018:00:03:02 -0500] "GET /superabarrotes/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2018:00:03:02 -0500] "GET /favicon.ico HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [21/Aug/2018:00:03:47 -0500] "POST /superabarrotes/AdminControler HTTP/1.1" 500 1571
0:0:0:0:0:0:0:1 - - [21/Aug/2018:00:04:09 -0500] "POST /superabarrotes/AdminControler HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Aug/2018:00:04:09 -0500] "GET /superabarrotes/ventas.jsp HTTP/1.1" 200 37812
0:0:0:0:0:0:0:1 - - [21/Aug/2018:00:04:40 -0500] "POST /superabarrotes/detalleVenta.jsp HTTP/1.1" 200 7779
0:0:0:0:0:0:0:1 - - [21/Aug/2018:00:04:57 -0500] "POST /superabarrotes/VentasController HTTP/1.1" 200 5732
0:0:0:0:0:0:0:1 - - [21/Aug/2018:00:05:08 -0500] "GET /superabarrotes/ventas.jsp HTTP/1.1" 200 37812
0:0:0:0:0:0:0:1 - - [21/Aug/2018:00:05:20 -0500] "POST /superabarrotes/detalleVenta.jsp HTTP/1.1" 200 6936
0:0:0:0:0:0:0:1 - - [21/Aug/2018:00:05:33 -0500] "POST /superabarrotes/VentasController HTTP/1.1" 200 5206
0:0:0:0:0:0:0:1 - - [21/Aug/2018:00:05:42 -0500] "POST /superabarrotes/AdminControler HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Aug/2018:00:05:42 -0500] "GET /superabarrotes/noAcceso.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2018:00:05:42 -0500] "GET /superabarrotes/img/079-shopping-cart-2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2018:00:05:48 -0500] "GET /superabarrotes/soporte.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2018:00:05:48 -0500] "GET /superabarrotes/img/053-label.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2018:00:05:52 -0500] "GET /superabarrotes/informacion.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2018:00:05:52 -0500] "GET /superabarrotes/img/ual.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2018:00:06:08 -0500] "POST /superabarrotes/AdminControler HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Aug/2018:00:06:08 -0500] "GET /superabarrotes/administracion.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2018:00:06:08 -0500] "GET /superabarrotes/img/018-sell.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2018:00:06:08 -0500] "GET /superabarrotes/img/094-entrepreneur.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2018:00:06:08 -0500] "GET /superabarrotes/img/057-quality.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2018:00:06:08 -0500] "GET /superabarrotes/img/055-delivery-truck.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2018:00:06:08 -0500] "GET /superabarrotes/img/082-cash-register.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2018:00:06:12 -0500] "GET /superabarrotes/pedidos.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2018:00:06:12 -0500] "GET /superabarrotes/img/8.jpg HTTP/1.1" 404 1020
0:0:0:0:0:0:0:1 - - [21/Aug/2018:00:06:12 -0500] "GET /superabarrotes/img/9.jpg HTTP/1.1" 404 1020
0:0:0:0:0:0:0:1 - - [21/Aug/2018:00:06:12 -0500] "GET /superabarrotes/img/11.jpg HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [21/Aug/2018:00:06:12 -0500] "GET /superabarrotes/img/13.jpg HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [21/Aug/2018:00:06:12 -0500] "GET /superabarrotes/img/10.jpg HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [21/Aug/2018:00:06:12 -0500] "GET /superabarrotes/img/12.jpg HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [21/Aug/2018:00:06:12 -0500] "GET /superabarrotes/img/gallery1.png HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [21/Aug/2018:00:06:12 -0500] "GET /superabarrotes/img/gallery2.png HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [21/Aug/2018:00:06:12 -0500] "GET /superabarrotes/img/gallery3.png HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [21/Aug/2018:00:06:12 -0500] "GET /superabarrotes/img/gallery4.png HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [21/Aug/2018:00:06:12 -0500] "GET /superabarrotes/img/gallery5.png HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [21/Aug/2018:00:06:12 -0500] "GET /superabarrotes/img/gallery6.png HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [21/Aug/2018:00:06:12 -0500] "GET /superabarrotes/fonts/fontawesome-webfont.woff?v=4.0.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2018:00:06:19 -0500] "POST /superabarrotes/AdminControler HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Aug/2018:00:06:19 -0500] "GET /superabarrotes/administracion.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Aug/2018:00:06:53 -0500] "POST /superabarrotes/AdminControler HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Aug/2018:00:06:53 -0500] "GET /superabarrotes/noAcceso.html HTTP/1.1" 304 -
